posted_at,peak_mw,trigger_mw,risk,driving_zone,houston_mw
2024-07-05T00:01:04,16092,23652.6,LOW,South,2924
2024-07-05T01:01:02,16186,23652.6,LOW,South,3014
2024-07-05T02:01:07,16163,23652.6,LOW,South,3014
2024-07-05T03:01:09,16199,23652.6,LOW,South,3014
2024-07-05T04:01:18,16199,23756.7,LOW,South,3014
2024-07-05T05:01:14,16111,23652.6,LOW,South,3014
2024-07-05T06:01:05,16039,23652.6,LOW,South,2963
2024-07-05T07:01:07,16062,23756.7,LOW,South,2963
2024-07-05T08:01:12,16080,23652.6,LOW,South,2918
2024-07-05T09:01:11,16106,23652.6,LOW,South,2949
2024-07-05T10:01:19,16214,23652.6,LOW,South,2949
2024-07-05T11:01:04,16553,23652.6,LOW,South,2949
2024-07-05T12:01:03,16608,23756.7,LOW,South,2994
2024-07-05T13:01:14,16599,23854.5,LOW,South,2994
2024-07-05T14:01:08,16551,23964.3,LOW,South,2963
2024-07-05T15:01:05,16294,23652.6,LOW,South,2966
2024-07-05T16:01:08,16263,23652.6,LOW,South,2966
2024-07-05T17:01:05,16295,23652.6,LOW,South,2966
2024-07-05T18:01:12,16200,23756.7,LOW,South,2966
2024-07-05T19:01:06,16260,23854.5,LOW,South,2966
2024-07-05T20:01:12,16099,23652.6,LOW,South,2966
2024-07-05T21:01:05,16354,24100.5,LOW,South,2966
2024-07-05T22:01:15,16263,24100.5,LOW,South,2966
2024-07-05T23:01:04,16203,23964.3,LOW,South,2966
2024-07-06T00:01:06,16308,24082.7,LOW,South,3011
2024-07-06T01:01:06,17027,24100.5,LOW,South,3011
2024-07-06T02:01:08,16701,23652.6,LOW,South,3011
2024-07-06T03:01:08,16701,23652.6,LOW,South,3011
2024-07-06T04:01:13,16701,23652.6,LOW,South,3011
2024-07-06T05:01:04,17027,23652.6,LOW,South,3337
2024-07-06T06:01:42,17177,23652.6,LOW,South,3337
2024-07-06T07:01:02,17096,23652.6,LOW,South,3292
2024-07-06T08:01:00,17146,23652.6,LOW,South,3292
2024-07-06T09:01:06,17114,23652.6,LOW,South,3275
2024-07-06T10:01:04,17681,23652.6,LOW,South,3275
2024-07-06T11:01:06,17539,23652.6,LOW,South,3275
2024-07-06T12:01:10,17638,23652.6,LOW,South,3381
2024-07-06T13:01:09,17612,23652.6,LOW,South,3379
2024-07-06T14:01:04,17634,23652.6,LOW,South,3311
2024-07-06T15:01:03,17506,23652.6,LOW,South,3205
2024-07-06T16:01:09,17470,23652.6,LOW,South,3205
2024-07-06T17:01:08,17716,23652.6,LOW,South,3205
2024-07-06T18:01:08,17972,23756.7,LOW,South,3205
2024-07-06T19:01:10,18558,23854.5,LOW,South,3205
2024-07-06T20:01:10,18693,23964.3,LOW,South,3205
